ticker,purchases
AASP,1
ACIC,2
ACOG,2
AHCO,2
AIRS,2
AISP,1
ALDX,1
AMR,7
BBSI,2
BCIC,3
BETR,2
BHAV,1
BHM,2
BUKS,1
BUSE,1
CBKM,3
CELFX,1
CGBD,1
CLIR,2
CMT,2
CULP,3
CWCO,2
DLPN,1
EKSO,2
EML,1
EPD,1
ESOA,2
FLYX,3
GAIA,1
GAM,1
GF,2
GO,3
HKHC,7
IBIO,2
KLC,1
KLTR,4
KYN,1
LAC,1
LGHL,1
LOGC,1
LULU,1
MKTW,3
MNR,5
MNTR,2
MSTR,1
MXF,2
N/A,1
NFBK,1
NFJ,1
NMM,3
NUTX,2
OBT,1
OPK,1
OSUR,2
PETV,2
PHR,3
PICS,1
PMO,1
QRHC,2
RBA,1
RCG,14
REEMF,1
SBSW,1
SCND,1
SPRU,2
SRBK,1
STIM,3
TGEN,3
THRY,2
TOI,1
TOUR,2
TPL,2
TSM,1
TTAM,1
UUU,3
WD,1
WULF,4
XZO,3
emyb,2
fmbm,15
