ticker,purchases
ACCS,1
ACOG,3
ADV,2
AERO,2
AFCG,3
AIRS,1
ALG,1
ARQ,1
BBSI,1
BCDA,2
BCIC,1
BETR,6
BORR,2
BWIV,1
CJMB,1
CPEFX,1
CSBB,1
CTM,3
CTRN,1
CULP,1
DXR,2
EZRA,1
FATN,1
FMNB,1
FRPH,1
GLBS,5
GO,2
GSM,2
HQ,1
IAUX,2
IBIO,2
IBKR,2
IFF,2
IONR,1
JAN,6
JLS,1
KELYA,2
KLTR,5
KYN,2
LCRDX,1
LFT,3
MGM,2
MNTR,2
MXF,2
NEXT,1
NFJ,2
NMM,3
NMR,3
NRGV,1
NXRT,3
PFG,2
PICS,2
PODC,1
RCG,21
RMT,1
RNXT,3
RPC,1
RVT,1
SBSW,2
SRZN,4
STIM,2
SWZ,2
TGEN,3
TISI,2
TLPH,1
TOFB,1
TOI,2
TOUR,2
TPL,2
TPST,1
UMH,2
UUU,2
VRSN,1
WHF,2
XIVYX,1
XZO,2
fmbm,1
