Stock,Transaction,Politician,Traded
ABT,Purchase,Rick LarsenHouse / D,2025-10-06
WMT,Purchase,Rick LarsenHouse / D,2025-10-06
AEP,Purchase,Rick LarsenHouse / D,2025-10-06
MTHRY,Purchase,Josh GottheimerHouse / D,2025-09-30
APG,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-09-30
CSGP,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-09-30
AJINF,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-09-30
BKDT,Purchase,Michael T. McCaulHouse / R,2025-09-29
DLTR,Purchase,Michael T. McCaulHouse / R,2025-09-26
BE,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-09-26
DHR,Purchase,Michael T. McCaulHouse / R,2025-09-25
ICE,Purchase,"Thomas H. Kean, Jr.House / R",2025-09-25
ALLY,Purchase,Michael T. McCaulHouse / R,2025-09-24
CVLT,Purchase,Josh GottheimerHouse / D,2025-09-23
CSL,Purchase,Michael T. McCaulHouse / R,2025-09-22
CSGP,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-09-22
CNM,Purchase,Michael T. McCaulHouse / R,2025-09-22
BBIO,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-09-22
ATR,Purchase,Michael T. McCaulHouse / R,2025-09-22
DXCM,Purchase,Michael T. McCaulHouse / R,2025-09-22
IRT,Purchase,Josh GottheimerHouse / D,2025-09-22
SSMXY,Purchase,Josh GottheimerHouse / D,2025-09-22
NTRA,Purchase,Josh GottheimerHouse / D,2025-09-22
TNDM,Purchase,Josh GottheimerHouse / D,2025-09-22
ARE,Purchase,Michael T. McCaulHouse / R,2025-09-18
GOOGL,Purchase,John BoozmanSenate / R,2025-09-17
QQQ,Purchase,Robert BresnahanHouse / R,2025-09-16
IEI,Purchase,John BoozmanSenate / R,2025-09-16
SPY,Purchase,Robert BresnahanHouse / R,2025-09-16
SHY,Purchase,John BoozmanSenate / R,2025-09-16
SCHP,Purchase,John BoozmanSenate / R,2025-09-16
SPY,Purchase,Robert BresnahanHouse / R,2025-09-16
IEF,Purchase,John BoozmanSenate / R,2025-09-16
QQQ,Purchase,Robert BresnahanHouse / R,2025-09-15
IWM,Purchase,Robert BresnahanHouse / R,2025-09-15
IWM,Purchase,Robert BresnahanHouse / R,2025-09-15
APG,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-09-12
ETN,Purchase,John BoozmanSenate / R,2025-09-12
COIN,Purchase,Tim MooreHouse / R,2025-09-11
ATR,Purchase,Michael T. McCaulHouse / R,2025-09-11
AMZN,Purchase,Val T. HoyleHouse / D,2025-09-10
AVGO,Purchase,Michael T. McCaulHouse / R,2025-09-09
DHR,Purchase,Michael T. McCaulHouse / R,2025-09-09
AVGO,Purchase,Michael T. McCaulHouse / R,2025-09-08
HOOD,Purchase,Jonathan L. JacksonHouse / D,2025-09-05
ADBE,Purchase,John BoozmanSenate / R,2025-09-04
DHR,Purchase,"Thomas H. Kean, Jr.House / R",2025-09-03
FNV,Purchase,"Thomas H. Kean, Jr.House / R",2025-09-03
THC,Purchase,Jonathan L. JacksonHouse / D,2025-09-03
