Stock,Transaction,Politician,Traded
BSCQ,Purchase,Lindsey GrahamSenate / R,2025-12-31
EFC,Purchase,Virginia FoxxHouse / R,2025-12-30
HD,Purchase,Lloyd DoggettHouse / D,2025-12-18
CBRL,Purchase,Tim MooreHouse / R,2025-12-16
KO,Purchase,Lloyd DoggettHouse / D,2025-12-15
GOOGL,Purchase,Cleo FieldsHouse / D,2025-12-15
GOOG,Purchase,Cleo FieldsHouse / D,2025-12-15
BRO,Purchase,April McClain DelaneyHouse / D,2025-12-12
TSCO,Purchase,April McClain DelaneyHouse / D,2025-12-12
PPG,Purchase,Lloyd DoggettHouse / D,2025-12-12
IBM,Purchase,Lloyd DoggettHouse / D,2025-12-12
MSFT,Purchase,Cleo FieldsHouse / D,2025-12-11
MSFT,Purchase,Cleo FieldsHouse / D,2025-12-11
GOOGL,Purchase,Cleo FieldsHouse / D,2025-12-11
ETN,Purchase,David TaylorHouse / R,2025-12-10
HD,Purchase,David TaylorHouse / R,2025-12-10
VZ,Purchase,Tim MooreHouse / R,2025-12-10
JNJ,Purchase,Lloyd DoggettHouse / D,2025-12-09
CBRL,Purchase,Tim MooreHouse / R,2025-12-09
HOG,Purchase,Tim MooreHouse / R,2025-12-09
IREN,Purchase,Cleo FieldsHouse / D,2025-12-09
GOOGL,Purchase,Cleo FieldsHouse / D,2025-12-09
BRO,Purchase,April McClain DelaneyHouse / D,2025-12-05
TECH,Purchase,April McClain DelaneyHouse / D,2025-12-05
NFLX,Purchase,Cleo FieldsHouse / D,2025-12-03
NFLX,Purchase,Cleo FieldsHouse / D,2025-12-03
CLH,Purchase,April McClain DelaneyHouse / D,2025-12-03
MLM,Purchase,April McClain DelaneyHouse / D,2025-12-02
TSCO,Purchase,April McClain DelaneyHouse / D,2025-12-02
LYV,Purchase,April McClain DelaneyHouse / D,2025-12-02
TECH,Purchase,April McClain DelaneyHouse / D,2025-12-02
GOOGL,Purchase,Cleo FieldsHouse / D,2025-12-01
WFC,Purchase,Mitch McConnellSenate / R,2025-12-01
BITB,Purchase,David McCormickSenate / R,2025-11-28
TXN,Purchase,"Thomas H. Kean, Jr.House / R",2025-11-26
BITB,Purchase,David McCormickSenate / R,2025-11-26
NVDA,Purchase,Dwight EvansHouse / D,2025-11-21
BCLYF,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-19
AZSEY,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-19
BABA,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-19
BABAF,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-19
AZN,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-19
BE,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
BKNG,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
AVGO,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
BRO,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
AZO,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
BRK.B,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
AAPL,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
ARE,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
APP,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
APO,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
ANET,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
AMZN,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
AMZN,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
AMD,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
AMCR,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
ABT,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
BSX,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
CSW,Purchase,Josh GottheimerHouse / D,2025-11-17
BCRX,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-13
ALKT,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-13
BMY,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-12
