Stock,Transaction,Politician,Traded
ADP,Purchase,Marjorie Taylor GreeneHouse / R,2025-11-12
PAYX,Purchase,Marjorie Taylor GreeneHouse / R,2025-11-12
VZ,Purchase,Tim MooreHouse / R,2025-10-31
GOOGL,Purchase,Michael T. McCaulHouse / R,2025-10-31
CLS,Purchase,Cleo FieldsHouse / D,2025-10-31
CAE,Purchase,Michael T. McCaulHouse / R,2025-10-31
AVGO,Purchase,Michael T. McCaulHouse / R,2025-10-31
NFLX,Purchase,Cleo FieldsHouse / D,2025-10-31
AAPL,Purchase,Cleo FieldsHouse / D,2025-10-30
LGIH,Purchase,Tim MooreHouse / R,2025-10-30
NVDA,Purchase,Cleo FieldsHouse / D,2025-10-30
NVDA,Purchase,Cleo FieldsHouse / D,2025-10-30
GNPX,Purchase,Tim MooreHouse / R,2025-10-29
GOOG,Purchase,Cleo FieldsHouse / D,2025-10-29
FIVE,Purchase,Tony WiedHouse / R,2025-10-27
DIS,Purchase,Tony WiedHouse / R,2025-10-27
ANET,Purchase,Tony WiedHouse / R,2025-10-27
LCII,Purchase,Tony WiedHouse / R,2025-10-27
DLTR,Purchase,Michael T. McCaulHouse / R,2025-10-24
GBNE,Purchase,Michael T. McCaulHouse / R,2025-10-24
GBNE,Purchase,Michael T. McCaulHouse / R,2025-10-24
AAPL,Purchase,Cleo FieldsHouse / D,2025-10-23
GEV,Purchase,Michael T. McCaulHouse / R,2025-10-23
GOOGL,Purchase,Cleo FieldsHouse / D,2025-10-23
TSM,Purchase,Cleo FieldsHouse / D,2025-10-23
ARE,Purchase,Michael T. McCaulHouse / R,2025-10-22
ICNT,Purchase,Michael T. McCaulHouse / R,2025-10-22
GEV,Purchase,Michael T. McCaulHouse / R,2025-10-16
HY,Purchase,Tim MooreHouse / R,2025-10-14
DLTR,Purchase,Michael T. McCaulHouse / R,2025-10-10
VZ,Purchase,Tim MooreHouse / R,2025-10-10
HY,Purchase,Tim MooreHouse / R,2025-10-10
ARE,Purchase,Michael T. McCaulHouse / R,2025-10-10
HURN,Purchase,Michael T. McCaulHouse / R,2025-10-10
HY,Purchase,Tim MooreHouse / R,2025-10-08
HOOD,Purchase,Jonathan L. JacksonHouse / D,2025-10-08
VZ,Purchase,Tim MooreHouse / R,2025-10-07
IHD,Purchase,Michael T. McCaulHouse / R,2025-10-01
