ticker,purchases
AASP,2
AGL,1
ALLY,1
AMTB,2
ANIX,1
ASA,4
AUBN,3
BFC,1
BST,1
BTO,1
BY,1
CBK,1
CBKM,1
CCFN,10
CCNE,2
CRSP,1
CVS,1
CWBC,1
DLPN,1
ELUT,3
EMAT,1
EMPD,3
EQPT,1
FATN,8
FCBC,1
FINS,4
GDV,3
GF,1
HEQ,1
HTD,1
HYMC,2
IBM,1
INTC,1
IP,1
IRIX,2
JHI,1
JHS,2
JYNT,2
KFS,2
LIFE,2
LOB,1
MHH,2
MIGI,2
MLAA,1
MNTR,2
MXF,1
NBBK,2
NBTB,1
NFJ,4
NOMA,1
NRIM,3
NWBI,1
NWFL,6
NYC,3
NZF,1
OTF,2
PDT,1
PFBX,2
PKBK,1
PMT,2
PW,1
Q,1
RCG,21
RMBI,1
SCISX,1
SLGL,1
SMBK,1
SQNS,1
STEX,2
STRW,2
TCGSX,1
THM,4
TPL,4
UA,4
UBSI,1
USAR,2
VANI,1
WRB,12
WS,1
ZIVO,4
