ticker,purchases
ABSI,1
ACOG,2
ADV,1
AFCG,3
AIRS,1
ALKT,3
ALTG,7
AMR,4
AMRZ,3
ARQ,2
ASLE,1
AVBC,1
AXP,7
BBSI,1
BETR,2
BH,1
BLDR,1
BWFG,6
BXSL,1
BY,1
CARS,1
CASY,1
CBKM,3
CCNE,1
CMTV,2
COFS,1
CPNG,3
CPS,3
CPSH,1
CRH,2
CRTO,1
CSPI,6
CSW,1
CTBI,1
CTEV,2
DCH,1
DIN,1
DLPN,1
DYN,1
ECC,1
ENOV,1
EYPT,1
FFIN,1
FG,2
FLNT,5
FOA,1
FOX,1
FSCO,1
FSSL,1
GAM,2
GOF,1
GOGO,2
GRNT,3
GWRS,1
HBAN,1
HGTY,1
HHH,1
IFF,8
INDV,1
ISTR,1
JBHT,21
KELYA,1
KFS,2
KGS,2
LEE,1
LINE,1
LNC,1
LOAR,5
LOGC,3
MBX,1
MDRR,1
MNTR,3
MTN,2
MX,2
MXF,1
MYO,1
N/A,11
NKSH,1
NUTX,1
NXRT,1
OBIO,1
OSUR,2
PETV,1
PODC,1
PTLO,1
RCG,7
ROCK,1
ROLR,1
RPC,2
SENS,2
SNDA,4
SPRU,2
SRE,1
SRZN,6
STAA,6
STRA,1
SUMA,1
SVRE,2
SWZ,2
TGLS,2
THRY,1
TPL,2
TRIN,1
ULBI,5
VANI,2
VEEE,1
VNO,1
VRTS,3
VSNT,4
WEST,1
WHF,6
WULF,1
YORW,1
ZBRA,1
