HL,InitialPurchase,5.10%,2025-11-10
VZ,InitialPurchase,5.10%,2025-11-10
SRPT,InitialPurchase,5.40%,2025-11-10 
TTD,InitialPurchase,8.20%,2025-11-10
SYF,InitialPurchase,5.10%,2025-11-10
VCYT,IncreasePosition,changeinshares35%,2025-11-10
INDI,,IncreasePosition,changeinshares50%,2025-11-10
CMP,IncreasePosition,changeinshares190%,2025-11-10
VCEL,IncreasePosition,changeinshares15%,2025-11-10
