Stock,Transaction,Politician,Traded
CSGP,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-09-30
AJINF,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-09-30
APG,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-09-30
BKDT,Purchase,Michael T. McCaulHouse / R,2025-09-29
BE,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-09-26
DLTR,Purchase,Michael T. McCaulHouse / R,2025-09-26
DHR,Purchase,Michael T. McCaulHouse / R,2025-09-25
ALLY,Purchase,Michael T. McCaulHouse / R,2025-09-24
ATR,Purchase,Michael T. McCaulHouse / R,2025-09-22
CSGP,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-09-22
CNM,Purchase,Michael T. McCaulHouse / R,2025-09-22
DXCM,Purchase,Michael T. McCaulHouse / R,2025-09-22
BBIO,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-09-22
CSL,Purchase,Michael T. McCaulHouse / R,2025-09-22
ARE,Purchase,Michael T. McCaulHouse / R,2025-09-18
GOOGL,Purchase,John BoozmanSenate / R,2025-09-17
HWM,Purchase,Michael T. McCaulHouse / R,2025-09-16
SHY,Purchase,John BoozmanSenate / R,2025-09-16
SCHP,Purchase,John BoozmanSenate / R,2025-09-16
IEI,Purchase,John BoozmanSenate / R,2025-09-16
IEF,Purchase,John BoozmanSenate / R,2025-09-16
HD,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-09-12
APG,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-09-12
ETN,Purchase,John BoozmanSenate / R,2025-09-12
HY,Purchase,Tim MooreHouse / R,2025-09-11
COIN,Purchase,Tim MooreHouse / R,2025-09-11
ATR,Purchase,Michael T. McCaulHouse / R,2025-09-11
GDDY,Purchase,Val T. HoyleHouse / D,2025-09-10
AMZN,Purchase,Val T. HoyleHouse / D,2025-09-10
DHR,Purchase,Michael T. McCaulHouse / R,2025-09-09
AVGO,Purchase,Michael T. McCaulHouse / R,2025-09-09
AVGO,Purchase,Michael T. McCaulHouse / R,2025-09-08
HAL,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-09-05
GOOGL,Purchase,Michael T. McCaulHouse / R,2025-09-04
ADBE,Purchase,John BoozmanSenate / R,2025-09-04
