Stock,Transaction,Politician,Traded
NOW,Purchase,Michael T. McCaulHouse / R,2025-10-31
AVGO,Purchase,Michael T. McCaulHouse / R,2025-10-31
CLS,Purchase,Cleo FieldsHouse / D,2025-10-31
CAE,Purchase,Michael T. McCaulHouse / R,2025-10-31
VZ,Purchase,Tim MooreHouse / R,2025-10-31
GOOGL,Purchase,Michael T. McCaulHouse / R,2025-10-31
NFLX,Purchase,Cleo FieldsHouse / D,2025-10-31
NVDA,Purchase,Cleo FieldsHouse / D,2025-10-30
NVDA,Purchase,Cleo FieldsHouse / D,2025-10-30
LGIH,Purchase,Tim MooreHouse / R,2025-10-30
AAPL,Purchase,Cleo FieldsHouse / D,2025-10-30
GOOG,Purchase,Cleo FieldsHouse / D,2025-10-29
GNPX,Purchase,Tim MooreHouse / R,2025-10-29
GBNE,Purchase,Michael T. McCaulHouse / R,2025-10-24
NFG,Purchase,Michael T. McCaulHouse / R,2025-10-24
GBNE,Purchase,Michael T. McCaulHouse / R,2025-10-24
DLTR,Purchase,Michael T. McCaulHouse / R,2025-10-24
GEV,Purchase,Michael T. McCaulHouse / R,2025-10-23
AAPL,Purchase,Cleo FieldsHouse / D,2025-10-23
TSM,Purchase,Cleo FieldsHouse / D,2025-10-23
GOOGL,Purchase,Cleo FieldsHouse / D,2025-10-23
ICNT,Purchase,Michael T. McCaulHouse / R,2025-10-22
ARE,Purchase,Michael T. McCaulHouse / R,2025-10-22
GEV,Purchase,Michael T. McCaulHouse / R,2025-10-16
HY,Purchase,Tim MooreHouse / R,2025-10-14
ARE,Purchase,Michael T. McCaulHouse / R,2025-10-10
VZ,Purchase,Tim MooreHouse / R,2025-10-10
DLTR,Purchase,Michael T. McCaulHouse / R,2025-10-10
HY,Purchase,Tim MooreHouse / R,2025-10-10
HURN,Purchase,Michael T. McCaulHouse / R,2025-10-10
HY,Purchase,Tim MooreHouse / R,2025-10-08
HOOD,Purchase,Jonathan L. JacksonHouse / D,2025-10-08
VZ,Purchase,Tim MooreHouse / R,2025-10-07
IHD,Purchase,Michael T. McCaulHouse / R,2025-10-01
