ticker,purchases
ABTC,1
ACVA,1
ADGM,1
AMR,11
ARX,1
ASA,2
ASTS,1
ATEX,1
BCDA,2
BH,2
BRR,1
CBKM,1
CFND,1
CHUC,1
CJMB,1
COO,1
CRM,1
DLHC,2
ELUT,4
EML,3
FTCI,1
GAIA,1
GF,2
GLP,3
GLSI,1
GPUS,2
GRX,2
HQL,1
HTFL,1
HYMC,1
HYPD,1
IGR,1
IMNM,1
INR,1
IRIX,1
KFS,2
LCGMF,1
LUCY,2
MRUS,2
MXF,1
N/A,2
NAVN,1
NRDE,2
NRDY,1
OMCC,2
OXY,1
PCF,3
PFBX,1
PFX,3
PLUG,1
PODC,1
PROP,5
RCG,14
RKMIX,1
RNXT,1
RVT,1
S,1
SCISX,1
SCND,2
SCWO,2
SEI,3
SGHT,1
SNEX,1
SPRU,3
SPT,1
SRV,1
TOFB,1
TPL,2
TPVG,4
UNB,3
UPXI,2
UUU,3
VSTS,2
WY,1
XELB,1
XSPIX,2
