ticker,purchases
ADMQ,1
AEF,1
AIG,1
ANNX,1
ASA,7
AVO,4
AWF,2
BDL,4
BETR,1
BUKS,1
CASY,1
CET,1
CJMB,2
CLPR,5
CME,2
CMTV,2
COCP,2
CPAY,1
CUE,5
DLPN,1
EDBL,1
EFOI,1
EP,5
FBRX,1
FG,1
FGBI,3
FSCO,1
FUND,7
GAB.Q,2
GDV.M,4
GF,6
GLSI,2
GPUS,11
GRX.E,4
GTLB,1
HQI,1
HYMC,4
HYPD,1
IMNM,1
IOR,2
IRD,2
JOBY,2
JYNT,2
KFS,1
LAKE,1
LGL,1
LSAK,1
LTC,2
LUCY,4
MDBH,3
MNTR,2
MONIX,1
MPB,6
MRUS,3
MSIF,1
N/A,8
NA,1
NAD,1
NNUP,1
NZF,1
ONFO,2
OSG,1
PFBX,2
PHIO,1
PROP,1
QNBC,4
RCG,31
RDGL,1
RGCO,3
RNXT,2
SAIC,1
SGRP,1
SLGL,3
SPG,10
SPRU,1
STRR,2
SUNS,2
TOFB,1
TPL,4
TPVG,8
UA,2
UNFI,2
UUU,6
UWHR,2
VANI,1
VENU,3
VKI,1
WRB,3
WYY,2
XIVYX,1
