Stock,Transaction,Politician,Party,Chamber,Amount,Traded,Filed
FMAO,Purchase,Robert E. Latta,R,House,"$1,001 - $15,000",2026-01-20,2026-01-23 00:00:00
AB,Purchase,Nancy Pelosi,D,House,"$1,000,001 - $5,000,000",2026-01-16,2026-01-23 00:00:00
AMZN,Purchase,Nancy Pelosi,D,House,"$500,001 - $1,000,000",2026-01-16,2026-01-23 00:00:00
GOOGL,Purchase,Nancy Pelosi,D,House,"$500,001 - $1,000,000",2026-01-16,2026-01-23 00:00:00
NVDA,Purchase,Nancy Pelosi,D,House,"$250,001 - $500,000",2026-01-16,2026-01-23 00:00:00
VST,Purchase,Nancy Pelosi,D,House,"$100,001 - $250,000",2026-01-16,2026-01-23 00:00:00
WPC,Purchase,Gary C. Peters,D,Senate,"$15,001 - $50,000",2026-01-12,2026-01-20 10:45:00
SWK,Purchase,Gary C. Peters,D,Senate,"$15,001 - $50,000",2026-01-12,2026-01-20 10:45:00
T,Purchase,Tim Moore,R,House,"$15,001 - $50,000",2026-01-09,2026-01-24 00:00:00
PG,Purchase,David Taylor,R,House,"$1,001 - $15,000",2026-01-09,2026-01-21 00:00:00
MSFT,Purchase,David Taylor,R,House,"$1,001 - $15,000",2026-01-08,2026-01-21 00:00:00
IBM,Purchase,David Taylor,R,House,"$1,001 - $15,000",2026-01-08,2026-01-21 00:00:00
IBM,Purchase,David Taylor,R,House,"$15,001 - $50,000",2026-01-08,2026-01-21 00:00:00
MSFT,Purchase,David Taylor,R,House,"$1,001 - $15,000",2026-01-08,2026-01-21 00:00:00
DRI,Purchase,Rick Larsen,D,House,"$1,001 - $15,000",2026-01-07,2026-01-14 00:00:00
META,Purchase,Rick Larsen,D,House,"$1,001 - $15,000",2026-01-07,2026-01-14 00:00:00
WM,Purchase,Rick Larsen,D,House,"$1,001 - $15,000",2026-01-07,2026-01-14 00:00:00
RCL,Purchase,Dan Newhouse,R,House,"$1,001 - $15,000",2025-12-31,2026-01-15 00:00:00
BR,Purchase,Dan Newhouse,R,House,"$1,001 - $15,000",2025-12-31,2026-01-15 00:00:00
SNPS,Purchase,Dan Newhouse,R,House,"$1,001 - $15,000",2025-12-31,2026-01-15 00:00:00
HY,Purchase,Tim Moore,R,House,"$15,001 - $50,000",2025-12-31,2026-01-24 00:00:00
IVW,Purchase,John Boozman,R,Senate,"$1,001 - $15,000",2025-12-31,2026-01-13 09:26:00
NVDA,Purchase,Nancy Pelosi,D,House,"$100,001 - $250,000",2025-12-30,2026-01-23 00:00:00
GOOGL,Purchase,Nancy Pelosi,D,House,"$250,001 - $500,000",2025-12-30,2026-01-23 00:00:00
AMZN,Purchase,Nancy Pelosi,D,House,"$100,001 - $250,000",2025-12-30,2026-01-23 00:00:00
AAPL,Purchase,Nancy Pelosi,D,House,"$250,001 - $500,000",2025-12-30,2026-01-23 00:00:00
IQV,Purchase,Markwayne Mullin,R,Senate,"$15,001 - $50,000",2025-12-29,2026-01-16 15:03:00
RTX,Purchase,Markwayne Mullin,R,Senate,"$15,001 - $50,000",2025-12-29,2026-01-16 15:03:00
NVDA,Purchase,Markwayne Mullin,R,Senate,"$100,001 - $250,000",2025-12-29,2026-01-16 15:03:00
NOW,Purchase,Markwayne Mullin,R,Senate,"$15,001 - $50,000",2025-12-29,2026-01-16 15:03:00
MSFT,Purchase,Markwayne Mullin,R,Senate,"$100,001 - $250,000",2025-12-29,2026-01-16 15:03:00
MA,Purchase,Markwayne Mullin,R,Senate,"$50,001 - $100,000",2025-12-29,2026-01-16 15:03:00
LRCX,Purchase,Markwayne Mullin,R,Senate,"$50,001 - $100,000",2025-12-29,2026-01-16 15:03:00
LLY,Purchase,Markwayne Mullin,R,Senate,"$15,001 - $50,000",2025-12-29,2026-01-16 15:03:00
KO,Purchase,Markwayne Mullin,R,Senate,"$15,001 - $50,000",2025-12-29,2026-01-16 15:03:00
JPM,Purchase,Markwayne Mullin,R,Senate,"$50,001 - $100,000",2025-12-29,2026-01-16 15:03:00
ISRG,Purchase,Markwayne Mullin,R,Senate,"$15,001 - $50,000",2025-12-29,2026-01-16 15:03:00
META,Purchase,Markwayne Mullin,R,Senate,"$50,001 - $100,000",2025-12-29,2026-01-16 15:03:00
INTU,Purchase,Markwayne Mullin,R,Senate,"$15,001 - $50,000",2025-12-29,2026-01-16 15:03:00
COST,Purchase,Markwayne Mullin,R,Senate,"$15,001 - $50,000",2025-12-29,2026-01-16 15:03:00
BSX,Purchase,Markwayne Mullin,R,Senate,"$15,001 - $50,000",2025-12-29,2026-01-16 15:03:00
AMAT,Purchase,Markwayne Mullin,R,Senate,"$15,001 - $50,000",2025-12-29,2026-01-16 15:03:00
CAT,Purchase,Markwayne Mullin,R,Senate,"$15,001 - $50,000",2025-12-29,2026-01-16 15:03:00
ICE,Purchase,Markwayne Mullin,R,Senate,"$15,001 - $50,000",2025-12-29,2026-01-16 15:03:00
COF,Purchase,Markwayne Mullin,R,Senate,"$50,001 - $100,000",2025-12-29,2026-01-16 15:03:00
AAPL,Purchase,Markwayne Mullin,R,Senate,"$100,001 - $250,000",2025-12-29,2026-01-16 15:03:00
AXP,Purchase,Markwayne Mullin,R,Senate,"$1,001 - $15,000",2025-12-29,2026-01-16 15:03:00
COP,Purchase,Markwayne Mullin,R,Senate,"$15,001 - $50,000",2025-12-29,2026-01-16 15:03:00
AMZN,Purchase,Markwayne Mullin,R,Senate,"$100,001 - $250,000",2025-12-29,2026-01-16 15:03:00
CRM,Purchase,Markwayne Mullin,R,Senate,"$15,001 - $50,000",2025-12-29,2026-01-16 15:03:00
ELV,Purchase,Markwayne Mullin,R,Senate,"$15,001 - $50,000",2025-12-29,2026-01-16 15:03:00
HLT,Purchase,Markwayne Mullin,R,Senate,"$15,001 - $50,000",2025-12-29,2026-01-16 15:03:00
