Stock,Transaction,Politician,Traded
ASBA,Purchase,Michael T. McCaulHouse / R,2025-11-28
APOS,Purchase,Michael T. McCaulHouse / R,2025-11-28
UST1,Purchase,Michael T. McCaulHouse / R,2025-11-26
CARM,Purchase,Michael T. McCaulHouse / R,2025-11-24
VTEX,Purchase,Michael T. McCaulHouse / R,2025-11-24
BNRE,Purchase,Michael T. McCaulHouse / R,2025-11-24
CMBS,Purchase,John BoozmanSenate / R,2025-11-21
GIGB,Purchase,John BoozmanSenate / R,2025-11-21
JMBS,Purchase,John BoozmanSenate / R,2025-11-21
MBB,Purchase,John BoozmanSenate / R,2025-11-21
MDY,Purchase,John BoozmanSenate / R,2025-11-21
PYPL,Purchase,John BoozmanSenate / R,2025-11-21
HAYW,Purchase,Michael T. McCaulHouse / R,2025-11-20
WWSYX,Purchase,John BoozmanSenate / R,2025-11-20
BOTA,Purchase,Ro KhannaHouse / D,2025-11-20
NFLX,Purchase,Cleo FieldsHouse / D,2025-11-20
SLND,Purchase,Michael T. McCaulHouse / R,2025-11-20
OSLE,Purchase,Michael T. McCaulHouse / R,2025-11-20
MSA,Purchase,Michael T. McCaulHouse / R,2025-11-20
NFLX,Purchase,Cleo FieldsHouse / D,2025-11-20
CVCI,Purchase,Michael T. McCaulHouse / R,2025-11-19
VVV,Purchase,Michael T. McCaulHouse / R,2025-11-19
ATR,Purchase,Michael T. McCaulHouse / R,2025-11-19
UPHN,Purchase,Michael T. McCaulHouse / R,2025-11-19
LPX,Purchase,Michael T. McCaulHouse / R,2025-11-18
ABVX,Purchase,Ro KhannaHouse / D,2025-11-14
ICNT,Purchase,Michael T. McCaulHouse / R,2025-11-14
ANET,Purchase,John BoozmanSenate / R,2025-11-13
GPC,Purchase,Michael T. McCaulHouse / R,2025-11-13
AMZN,Purchase,John BoozmanSenate / R,2025-11-13
AXTA,Purchase,Ro KhannaHouse / D,2025-11-13
ADBE,Purchase,Ro KhannaHouse / D,2025-11-12
APO,Purchase,Ro KhannaHouse / D,2025-11-10
APD,Purchase,Ro KhannaHouse / D,2025-11-10
ABNB,Purchase,Ro KhannaHouse / D,2025-11-10
AXTA,Purchase,Ro KhannaHouse / D,2025-11-10
AXTA,Purchase,Ro KhannaHouse / D,2025-11-07
VRNG,Purchase,Michael T. McCaulHouse / R,2025-11-06
AXTA,Purchase,Ro KhannaHouse / D,2025-11-06
VEA,Purchase,John BoozmanSenate / R,2025-11-06
VWO,Purchase,John BoozmanSenate / R,2025-11-06
ADP,Purchase,Richard McCormickHouse / R,2025-11-05
APD,Purchase,Richard McCormickHouse / R,2025-11-05
ABT,Purchase,Richard McCormickHouse / R,2025-11-05
AXTA,Purchase,Ro KhannaHouse / D,2025-11-05
HD,Purchase,Richard McCormickHouse / R,2025-11-05
AAPL,Purchase,Richard McCormickHouse / R,2025-11-05
BLK,Purchase,Richard McCormickHouse / R,2025-11-05
ADI,Purchase,Richard McCormickHouse / R,2025-11-05
AWK,Purchase,Richard McCormickHouse / R,2025-11-05
WMT,Purchase,Richard McCormickHouse / R,2025-11-05
O,Purchase,Richard McCormickHouse / R,2025-11-05
MCD,Purchase,Richard McCormickHouse / R,2025-11-05
MDT,Purchase,Richard McCormickHouse / R,2025-11-05
EMR,Purchase,Richard McCormickHouse / R,2025-11-05
JNJ,Purchase,Richard McCormickHouse / R,2025-11-05
ITW,Purchase,Richard McCormickHouse / R,2025-11-05
MSFT,Purchase,Richard McCormickHouse / R,2025-11-05
BRK.B,Purchase,Richard McCormickHouse / R,2025-11-05
NEE,Purchase,Richard McCormickHouse / R,2025-11-05
LHX,Purchase,Richard McCormickHouse / R,2025-11-05
PEP,Purchase,Richard McCormickHouse / R,2025-11-05
PG,Purchase,Richard McCormickHouse / R,2025-11-05
CSCO,Purchase,Richard McCormickHouse / R,2025-11-05
UNH,Purchase,Richard McCormickHouse / R,2025-11-05
COST,Purchase,Richard McCormickHouse / R,2025-11-05
V,Purchase,Richard McCormickHouse / R,2025-11-05
ICE,Purchase,Richard McCormickHouse / R,2025-11-05
AMR1,Purchase,Ro KhannaHouse / D,2025-11-04
UNH,Purchase,Michael T. McCaulHouse / R,2025-11-04
AXTA,Purchase,Ro KhannaHouse / D,2025-11-03
BMY,Purchase,Ro KhannaHouse / D,2025-11-03
BKNG,Purchase,Ro KhannaHouse / D,2025-11-03
BLL,Purchase,Ro KhannaHouse / D,2025-11-03
AMT,Purchase,Ro KhannaHouse / D,2025-11-03
APO,Purchase,Ro KhannaHouse / D,2025-11-03
APD,Purchase,Ro KhannaHouse / D,2025-11-03
ADP,Purchase,Ro KhannaHouse / D,2025-11-03
ADBE,Purchase,Ro KhannaHouse / D,2025-11-03
ABNB,Purchase,Ro KhannaHouse / D,2025-11-03
VRNG,Purchase,Michael T. McCaulHouse / R,2025-11-03
BR,Purchase,Ro KhannaHouse / D,2025-11-03
