Stock,Transaction,Politician,Traded
NVO,Purchase,Marjorie Taylor GreeneHouse / R,2025-08-28
PEP,Purchase,Marjorie Taylor GreeneHouse / R,2025-08-28
MS,Purchase,Marjorie Taylor GreeneHouse / R,2025-08-28
MRK,Purchase,Marjorie Taylor GreeneHouse / R,2025-08-28
MELI,Purchase,Marjorie Taylor GreeneHouse / R,2025-08-28
GOOG,Purchase,Marjorie Taylor GreeneHouse / R,2025-08-28
FDX,Purchase,Marjorie Taylor GreeneHouse / R,2025-08-28
EXC,Purchase,Marjorie Taylor GreeneHouse / R,2025-08-28
RHP,Purchase,Marjorie Taylor GreeneHouse / R,2025-08-28
SO,Purchase,Marjorie Taylor GreeneHouse / R,2025-08-28
UNH,Purchase,Marjorie Taylor GreeneHouse / R,2025-08-28
UPS,Purchase,Marjorie Taylor GreeneHouse / R,2025-08-28
BJ,Purchase,April McClain DelaneyHouse / D,2025-08-25
MKL,Purchase,April McClain DelaneyHouse / D,2025-08-21
ASTH,Purchase,Judy ChuHouse / D,2025-08-19
PLD,Purchase,David TaylorHouse / R,2025-08-14
MPC,Purchase,David TaylorHouse / R,2025-08-14
LLY,Purchase,David TaylorHouse / R,2025-08-14
LLY,Purchase,David TaylorHouse / R,2025-08-14
PG,Purchase,David TaylorHouse / R,2025-08-13
V,Purchase,David TaylorHouse / R,2025-08-13
V,Purchase,David TaylorHouse / R,2025-08-13
PLD,Purchase,David TaylorHouse / R,2025-08-07
PG,Purchase,David TaylorHouse / R,2025-08-07
MKL,Purchase,April McClain DelaneyHouse / D,2025-08-07
JLL,Purchase,April McClain DelaneyHouse / D,2025-08-07
CRM,Purchase,David TaylorHouse / R,2025-08-07
VRTX,Purchase,David TaylorHouse / R,2025-08-07
GLA,Purchase,Max L. MillerHouse / R,2025-08-04
MORN,Purchase,April McClain DelaneyHouse / D,2025-08-02
SHW,Purchase,Shelley Moore CapitoSenate / R,2025-08-01
PLD,Purchase,Shelley Moore CapitoSenate / R,2025-08-01
PTC,Purchase,April McClain DelaneyHouse / D,2025-08-01
MKL,Purchase,April McClain DelaneyHouse / D,2025-08-01
CHKP,Purchase,"Thomas H. Kean, Jr.House / R",2025-07-29
ABT,Purchase,"Thomas H. Kean, Jr.House / R",2025-07-21
T,Purchase,David TaylorHouse / R,2025-07-18
T,Purchase,David TaylorHouse / R,2025-07-18
PGR,Purchase,David TaylorHouse / R,2025-07-18
ARM,Purchase,Jonathan L. JacksonHouse / D,2025-07-17
FMX,Purchase,Jonathan L. JacksonHouse / D,2025-05-21
LLY,Purchase,Jonathan L. JacksonHouse / D,2025-04-23
TMUS,Purchase,Jonathan L. JacksonHouse / D,2025-04-23
META,Purchase,Jonathan L. JacksonHouse / D,2025-04-23
MCK,Purchase,Jonathan L. JacksonHouse / D,2025-04-23
CHD,Purchase,Jonathan L. JacksonHouse / D,2025-04-23
AMZN,Purchase,Jonathan L. JacksonHouse / D,2025-04-23
GS,Purchase,Jonathan L. JacksonHouse / D,2025-03-24
META,Purchase,Jonathan L. JacksonHouse / D,2025-03-24
KKR,Purchase,Jonathan L. JacksonHouse / D,2025-03-24
WMB,Purchase,Jonathan L. JacksonHouse / D,2025-03-24
AMZN,Purchase,Jonathan L. JacksonHouse / D,2025-03-24
TMUS,Purchase,Jonathan L. JacksonHouse / D,2025-03-24
MCK,Purchase,Jonathan L. JacksonHouse / D,2025-03-24
CHD,Purchase,Jonathan L. JacksonHouse / D,2025-03-24
WMB,Purchase,Jonathan L. JacksonHouse / D,2025-03-17
CHD,Purchase,Jonathan L. JacksonHouse / D,2025-03-03
META,Purchase,Jonathan L. JacksonHouse / D,2025-03-03
PANW,Purchase,Jonathan L. JacksonHouse / D,2025-03-03
MCK,Purchase,Jonathan L. JacksonHouse / D,2025-03-03
TMUS,Purchase,Jonathan L. JacksonHouse / D,2025-03-03
KKR,Purchase,Jonathan L. JacksonHouse / D,2025-03-03
AMZN,Purchase,Jonathan L. JacksonHouse / D,2025-03-03
GS,Purchase,Jonathan L. JacksonHouse / D,2025-03-03
ARES,Purchase,Ritchie TorresHouse / D,2024-10-09
CRM,Purchase,Ritchie TorresHouse / D,2024-09-26
CMCSA,Purchase,Ritchie TorresHouse / D,2024-09-26
ENB,Purchase,Ritchie TorresHouse / D,2024-09-26
EIX,Purchase,Ritchie TorresHouse / D,2024-09-26
ELS,Purchase,Ritchie TorresHouse / D,2024-09-26
BLK,Purchase,Ritchie TorresHouse / D,2024-09-26
BX,Purchase,Ritchie TorresHouse / D,2024-09-26
AMH,Purchase,Ritchie TorresHouse / D,2024-09-26
AVGO,Purchase,Ritchie TorresHouse / D,2024-09-26
ASML,Purchase,Ritchie TorresHouse / D,2024-09-26
ASML,Purchase,Ritchie TorresHouse / D,2024-09-26
ARE,Purchase,Ritchie TorresHouse / D,2024-09-26
APPL,Purchase,Ritchie TorresHouse / D,2024-09-26
APO,Purchase,Ritchie TorresHouse / D,2024-09-26
AMT,Purchase,Ritchie TorresHouse / D,2024-09-26
ABBV,Purchase,Ritchie TorresHouse / D,2024-09-26
EQIX,Purchase,Ritchie TorresHouse / D,2024-09-26
