Stock,Transaction,Politician,Party,Chamber,Amount,Traded,Filed
CRL,Purchase,Ro Khanna,D,House,"$1,001 - $15,000",2026-03-30,2026-04-07
CIEN,Purchase,Ro Khanna,D,House,"$1,001 - $15,000",2026-03-30,2026-04-07
HLT,Purchase,Ro Khanna,D,House,"$1,001 - $15,000",2026-03-30,2026-04-07
ADSK,Purchase,Ro Khanna,D,House,"$15,001 - $50,000",2026-03-30,2026-04-07
AJG,Purchase,Ro Khanna,D,House,"$1,001 - $15,000",2026-03-30,2026-04-07
ADP,Purchase,Ro Khanna,D,House,"$15,001 - $50,000",2026-03-30,2026-04-07
AXP,Purchase,Ro Khanna,D,House,"$15,001 - $50,000",2026-03-30,2026-04-07
ACN,Purchase,Ro Khanna,D,House,"$15,001 - $50,000",2026-03-30,2026-04-07
BSX,Purchase,Ro Khanna,D,House,"$15,001 - $50,000",2026-03-30,2026-04-07
HOOD,Purchase,Ro Khanna,D,House,"$1,001 - $15,000",2026-03-30,2026-04-07
GPC,Purchase,Ro Khanna,D,House,"$1,001 - $15,000",2026-03-30,2026-04-07
GOOGL,Purchase,Ro Khanna,D,House,"$15,001 - $50,000",2026-03-30,2026-04-07
CSCO,Purchase,Ro Khanna,D,House,"$50,001 - $100,000",2026-03-30,2026-04-07
BX,Purchase,Ro Khanna,D,House,"$15,001 - $50,000",2026-03-30,2026-04-07
AMZN,Purchase,Ro Khanna,D,House,"$15,001 - $50,000",2026-03-30,2026-04-07
CRM,Purchase,Ro Khanna,D,House,"$15,001 - $50,000",2026-03-30,2026-04-07
COF,Purchase,Ro Khanna,D,House,"$15,001 - $50,000",2026-03-30,2026-04-07
DIS,Purchase,Ro Khanna,D,House,"$15,001 - $50,000",2026-03-30,2026-04-07
HSIC,Purchase,Ro Khanna,D,House,"$1,001 - $15,000",2026-03-30,2026-04-07
FSV,Purchase,"Gilbert Ray Cisneros, Jr.",D,House,"$1,001 - $15,000",2026-03-27,2026-04-07
CRBG,Purchase,Ro Khanna,D,House,"$1,001 - $15,000",2026-03-27,2026-04-07
FN,Purchase,"Gilbert Ray Cisneros, Jr.",D,House,"$15,001 - $50,000",2026-03-27,2026-04-07
BABAF,Purchase,"Gilbert Ray Cisneros, Jr.",D,House,"$1,001 - $15,000",2026-03-27,2026-04-07
DASH,Purchase,"Gilbert Ray Cisneros, Jr.",D,House,"$1,001 - $15,000",2026-03-27,2026-04-07
GLW,Purchase,"Gilbert Ray Cisneros, Jr.",D,House,"$1,001 - $15,000",2026-03-25,2026-04-07
