Stock,Transaction,Politician,Traded
AMGN,Purchase,Marjorie Taylor GreeneHouse / R,2025-10-24
HD,Purchase,Marjorie Taylor GreeneHouse / R,2025-10-24
PANW,Purchase,Marjorie Taylor GreeneHouse / R,2025-10-24
OXY,Purchase,Marjorie Taylor GreeneHouse / R,2025-10-24
NFLX,Purchase,Marjorie Taylor GreeneHouse / R,2025-10-24
MSFT,Purchase,Marjorie Taylor GreeneHouse / R,2025-10-24
MELI,Purchase,Marjorie Taylor GreeneHouse / R,2025-10-24
KMI,Purchase,Marjorie Taylor GreeneHouse / R,2025-10-24
AMZN,Purchase,Marjorie Taylor GreeneHouse / R,2025-10-24
IBIT,Purchase,Marjorie Taylor GreeneHouse / R,2025-10-24
CVX,Purchase,Marjorie Taylor GreeneHouse / R,2025-10-24
CAH,Purchase,Marjorie Taylor GreeneHouse / R,2025-10-24
BX,Purchase,Marjorie Taylor GreeneHouse / R,2025-10-24
BRK.B,Purchase,Marjorie Taylor GreeneHouse / R,2025-10-24
FMAO,Purchase,Robert E. LattaHouse / R,2025-10-20
IBIT,Purchase,Marjorie Taylor GreeneHouse / R,2025-10-15
NVO,Purchase,Marjorie Taylor GreeneHouse / R,2025-10-15
TSLA,Purchase,Marjorie Taylor GreeneHouse / R,2025-10-15
EXC,Purchase,Marjorie Taylor GreeneHouse / R,2025-10-15
AMZN,Purchase,Marjorie Taylor GreeneHouse / R,2025-10-15
ADBE,Purchase,Marjorie Taylor GreeneHouse / R,2025-10-15
XMEX,Purchase,Marjorie Taylor GreeneHouse / R,2025-10-15
GLAS,Purchase,Max L. MillerHouse / R,2025-10-15
GLAS,Purchase,Max L. MillerHouse / R,2025-10-15
IVV,Purchase,Scott FranklinHouse / R,2025-10-14
IVV,Purchase,Scott FranklinHouse / R,2025-10-14
IVV,Purchase,Scott FranklinHouse / R,2025-10-14
UNP,Purchase,Scott FranklinHouse / R,2025-10-14
UNP,Purchase,Scott FranklinHouse / R,2025-10-14
UNP,Purchase,Scott FranklinHouse / R,2025-10-14
IBIT,Purchase,Marjorie Taylor GreeneHouse / R,2025-10-09
AMZN,Purchase,Marjorie Taylor GreeneHouse / R,2025-10-09
UPS,Purchase,Marjorie Taylor GreeneHouse / R,2025-10-09
SAP,Purchase,Lisa C. McClainHouse / R,2025-09-25
ROL,Purchase,Lisa C. McClainHouse / R,2025-09-25
KVUE,Purchase,Lisa C. McClainHouse / R,2025-09-25
OPCH,Purchase,Lisa C. McClainHouse / R,2025-09-25
SFM,Purchase,Lisa C. McClainHouse / R,2025-09-25
ASML,Purchase,Lisa C. McClainHouse / R,2025-09-25
NTES,Purchase,Lisa C. McClainHouse / R,2025-09-25
MGPI,Purchase,Lisa C. McClainHouse / R,2025-09-25
WTRG,Purchase,Lisa C. McClainHouse / R,2025-09-25
SLB,Purchase,Lisa C. McClainHouse / R,2025-09-25
LPX,Purchase,Lisa C. McClainHouse / R,2025-09-25
INGR,Purchase,Lisa C. McClainHouse / R,2025-09-25
KO,Purchase,Lisa C. McClainHouse / R,2025-09-25
AMH,Purchase,Lisa C. McClainHouse / R,2025-09-25
HUM,Purchase,Lisa C. McClainHouse / R,2025-09-25
HDB,Purchase,Lisa C. McClainHouse / R,2025-09-25
GTY,Purchase,Lisa C. McClainHouse / R,2025-09-25
FMC,Purchase,Lisa C. McClainHouse / R,2025-09-25
DRI,Purchase,Lisa C. McClainHouse / R,2025-09-25
BAX,Purchase,Lisa C. McClainHouse / R,2025-09-25
SNDR,Purchase,Lisa C. McClainHouse / R,2025-09-25
BRK.B,Purchase,Jerry MoranSenate / R,2025-09-23
GLA,Purchase,Max L. MillerHouse / R,2025-09-23
TSLA,Purchase,Lisa C. McClainHouse / R,2025-09-11
ACI,Purchase,Lisa C. McClainHouse / R,2025-09-11
AAPL,Purchase,Lisa C. McClainHouse / R,2025-09-11
UL,Purchase,Lisa C. McClainHouse / R,2025-09-11
AMZN,Purchase,Lisa C. McClainHouse / R,2025-09-11
SBAC,Purchase,Lisa C. McClainHouse / R,2025-09-11
SAIC,Purchase,Lisa C. McClainHouse / R,2025-09-11
QLYS,Purchase,Lisa C. McClainHouse / R,2025-09-11
NVS,Purchase,Lisa C. McClainHouse / R,2025-09-11
MAN,Purchase,Lisa C. McClainHouse / R,2025-09-11
IT,Purchase,Lisa C. McClainHouse / R,2025-09-11
HRL,Purchase,Lisa C. McClainHouse / R,2025-09-11
HDB,Purchase,Lisa C. McClainHouse / R,2025-09-11
DT,Purchase,Lisa C. McClainHouse / R,2025-09-11
DLB,Purchase,Lisa C. McClainHouse / R,2025-09-11
DEO,Purchase,Lisa C. McClainHouse / R,2025-09-11
CON,Purchase,Lisa C. McClainHouse / R,2025-09-11
CNM,Purchase,Lisa C. McClainHouse / R,2025-09-11
BHP,Purchase,Lisa C. McClainHouse / R,2025-09-11
NVO,Purchase,Lisa C. McClainHouse / R,2025-09-11
STX,Purchase,Lisa C. McClainHouse / R,2025-09-08
