UUUU,InitialPurchase,5%,2025-10-30
AMRZ,InitialPurchase,5%,2025-10-30
REI,IncreasePosition,changeinshares437%,2025-10-30
PANW,IncreasePosition,changeinshares136%,2025-10-30
APP,IncreasePosition,changeinshares50%,2025-10-30
RDDT,IncreasePosition,changeinshares33%,2025-10-30
BRO,IncreasePosition,changeinshares30%,2025-10-30
DDOG,IncreasePosition,changeinshares30%,2025-10-30
XYZ,IncreasePosition,changeinshares21%,2025-10-30
TXG,IncreasePosition,changeinshares20%,2025-10-30
QXO,IncreasePosition,changeinshares17%,2025-10-30
