Stock,Transaction,Politician,Traded
SWK,Purchase,Gary C. PetersSenate / D,2026-01-12
WPC,Purchase,Gary C. PetersSenate / D,2026-01-12
PG,Purchase,David TaylorHouse / R,2026-01-09
IBM,Purchase,David TaylorHouse / R,2026-01-08
MSFT,Purchase,David TaylorHouse / R,2026-01-08
MSFT,Purchase,David TaylorHouse / R,2026-01-08
IBM,Purchase,David TaylorHouse / R,2026-01-08
RCL,Purchase,Dan NewhouseHouse / R,2025-12-31
BR,Purchase,Dan NewhouseHouse / R,2025-12-31
LRCX,Purchase,Markwayne MullinSenate / R,2025-12-29
INTU,Purchase,Markwayne MullinSenate / R,2025-12-29
IQV,Purchase,Markwayne MullinSenate / R,2025-12-29
ISRG,Purchase,Markwayne MullinSenate / R,2025-12-29
KO,Purchase,Markwayne MullinSenate / R,2025-12-29
LLY,Purchase,Markwayne MullinSenate / R,2025-12-29
NOW,Purchase,Markwayne MullinSenate / R,2025-12-29
MA,Purchase,Markwayne MullinSenate / R,2025-12-29
META,Purchase,Markwayne MullinSenate / R,2025-12-29
MSFT,Purchase,Markwayne MullinSenate / R,2025-12-29
HLT,Purchase,Markwayne MullinSenate / R,2025-12-29
NVDA,Purchase,Markwayne MullinSenate / R,2025-12-29
RTX,Purchase,Markwayne MullinSenate / R,2025-12-29
ICE,Purchase,Markwayne MullinSenate / R,2025-12-29
JPM,Purchase,Markwayne MullinSenate / R,2025-12-29
HD,Purchase,Markwayne MullinSenate / R,2025-12-29
COF,Purchase,Markwayne MullinSenate / R,2025-12-29
AMAT,Purchase,Markwayne MullinSenate / R,2025-12-29
AAPL,Purchase,Markwayne MullinSenate / R,2025-12-29
GS,Purchase,Markwayne MullinSenate / R,2025-12-29
AXP,Purchase,Markwayne MullinSenate / R,2025-12-29
BSX,Purchase,Markwayne MullinSenate / R,2025-12-29
CAT,Purchase,Markwayne MullinSenate / R,2025-12-29
AMZN,Purchase,Markwayne MullinSenate / R,2025-12-29
COP,Purchase,Markwayne MullinSenate / R,2025-12-29
DE,Purchase,Markwayne MullinSenate / R,2025-12-29
GOOGL,Purchase,Markwayne MullinSenate / R,2025-12-29
COST,Purchase,Markwayne MullinSenate / R,2025-12-29
ELV,Purchase,Markwayne MullinSenate / R,2025-12-29
CVX,Purchase,Markwayne MullinSenate / R,2025-12-29
CRM,Purchase,Markwayne MullinSenate / R,2025-12-29
GOOGL,Purchase,Cleo FieldsHouse / D,2025-12-26
RTX,Purchase,Roger WilliamsHouse / R,2025-12-22
JPM,Purchase,Roger WilliamsHouse / R,2025-12-22
XLP,Purchase,Tommy TubervilleSenate / R,2025-12-17
XLU,Purchase,Tommy TubervilleSenate / R,2025-12-17
XLV,Purchase,Tommy TubervilleSenate / R,2025-12-17
FERG,Purchase,Rick W. AllenHouse / R,2025-12-12
PANW,Purchase,Dan NewhouseHouse / R,2025-12-11
NXPI,Purchase,Dan NewhouseHouse / R,2025-12-11
LULU,Purchase,Dan NewhouseHouse / R,2025-12-11
SCHW,Purchase,Dan NewhouseHouse / R,2025-12-11
BX,Purchase,Dan NewhouseHouse / R,2025-12-11
SO,Purchase,Jared MoskowitzHouse / D,2025-12-02
PEG,Purchase,Jared MoskowitzHouse / D,2025-12-02
MCK,Purchase,Jared MoskowitzHouse / D,2025-12-02
ATO,Purchase,Jared MoskowitzHouse / D,2025-12-02
MCK,Purchase,Jared MoskowitzHouse / D,2025-12-02
