ticker,purchases
AAON,3
ACNB,1
ADGM,1
AMR,3
APTV,1
ASA,1
ASST,4
AVBC,1
BCIC,5
BFLY,2
BH,4
CFBK,3
CFND,1
CJMB,3
CLFD,1
CLYM,2
COO,2
COSM,1
CTTH,1
CVR,1
DIS,1
DLPN,1
DTIL,3
ELAN,1
ELWT,2
EML,5
FGBI,1
FPI,1
GABC,3
GAIA,1
GF,1
GLP,2
GOGO,2
GPUS,3
GRNT,1
HLIT,1
HUBG,1
HYMC,3
IGR,2
IPSC,1
IRIX,1
KLXE,1
KNSL,14
LCGMF,3
LFVN,1
MAA,1
MIDD,7
MLP,1
MNTR,3
MRMD,1
MSDL,1
MXF,1
N/A,4
NASDAQ:DHC,1
NEXT,2
NRDY,2
NWPP,1
NWTG,1
NYC,4
OPTT,1
PROP,7
RCG,14
RLMD,2
RNXT,1
RZLT,8
SAIC,3
SI,4
SILO,2
SLGL,1
SMRT,2
SPG,1
SPMC,3
SPRU,2
SRRK,3
STK,1
SVCO,1
SXTP,1
TEAD,2
TPL,2
TPVG,4
TRIN,2
TUSK,1
TXO,1
ULBI,3
UMH,2
UWHR,2
VANI,2
VERA,1
VRA,3
WVVI,8
