ticker,purchases
ABCL,3
ACOG,2
ACVA,1
APCX,1
ATLO,1
AVBC,2
AWI,1
AXR,3
BCAX,1
BCBP,1
BCHT,1
BHB,1
BRN,1
BWFG,6
CCFN,2
CMS,1
COFS,1
CSGP,1
CSWC,1
CTEV,3
CZFS,1
DLPN,1
DMA; MSFIX,6
EAD,1
EDSA,2
EHTH,1
EOD,1
EOSE,1
ERC,1
ERH,3
FBLG,2
FNWD,3
FOUR,2
FRHC,2
FSCO,2
FSK,1
GCBC,1
GENB,11
HMN,1
HOG,1
HRI,1
HTGC,2
IBCP,1
IDYA,1
INFU,1
IONQ,1
ISPR,6
IVR,1
KFS,2
LAW,3
LEE,11
LKFN,1
LNBIX,3
LRHC,1
LRMR,7
MELI,1
MERC,1
MNTR,3
MQ,1
MSDL,1
MSEX,1
MTDR,1
MYGN,3
MYN,1
N/A,8
NAII,3
NFRX,3
NMFC,1
NMTC,1
NOW,2
NRGV,1
NZF,1
OBDC,2
OESX,1
PALO,1
PATK,1
PCB,4
PENN,1
PKBK,1
PMNT,2
POOL,1
PVLA,2
RBCAA,1
RCG,21
RDZN,1
REXR,3
RHP,1
SKWD,5
SOFI,1
SRBK,3
SWZ,2
SXC,1
TBBK,2
TDG,1
TNC,6
TPL,3
TRGS,1
TSLX,1
TWN,1
UUU,2
WRB,3
XMTR,1
ZURA,1
