ticker,purchases
APC,1
APCX,1
ASST,2
AVX,2
BIIB,1
CHGG,1
CMIIU,1
CNVS,7
COCH,5
COTY,1
CSPI,11
CVRX,1
DEI,1
DIS,1
DKNG,1
DLHC,2
DLPN,1
ERNA,1
EXE,1
FAF,3
FLYW,1
FMBH,5
FUSB,1
FWRD,2
GABC,1
GDV,1
GF,2
GGN,1
GGT,1
GTE,3
HIPO,1
HTGC,2
ISBA,1
IVYIX,1
JUVF,9
JYNT,1
KFS,2
KKR,8
KLRS,1
KVYO,1
LEE,3
LNZA,2
LYFT,1
MDU,1
MPAA,1
MSCI,4
MSFT,1
N/A,4
NFJ,1
NMCO,1
NRDE,1
NTWK,2
NWPP,1
NWWP,1
PFBX,1
PRU,1
RCG,14
RXO,1
SAH,6
SBCF,1
SINT,1
SLGL,1
SONO,3
SPMC,2
STEX,1
STQN,1
TPL,2
VELO,2
VERX,2
VLY,1
WRB,3
XSLLU,2
none,2
