ticker,purchases
AASP,2
ALLY,1
AMTB,1
ANIX,1
ARCI,2
ASA,3
AVO,2
BDSX,3
BFST,1
BST,1
BTO,1
BY,1
CCFN,10
COSM,1
CRSP,1
CVS,1
CXH,2
DLPN,1
ELUT,2
EMAT,1
EQPT,1
FAST,2
FATN,8
FINS,3
GDV,3
GME,1
HEQ,1
HPF,1
HPI,1
HPS,1
HTD,1
HYMC,1
INTC,1
IRIX,4
JHI,1
JHS,2
JYNT,2
KFS,2
LOB,1
MIGI,1
MIRM,1
MNTR,2
MXF,1
NBBK,2
NBTB,1
NFJ,2
NRIM,1
NWBI,1
NWFL,6
NYC,3
NZF,1
PDT,1
PFBX,3
PKBK,1
PMT,2
Q,1
RCG,35
SCISX,1
SLGL,1
SMBK,1
SQNS,1
STEX,6
STRW,2
TCBI,3
TCGSX,1
THM,2
TOFB,1
TPL,4
UA,4
UAA,4
UBSI,1
USAR,2
VANI,1
WRB,9
WS,1
ZIVO,4
