Stock,Transaction,Politician,Traded
NOW,Purchase,Michael T. McCaulHouse / R,2025-10-31
VZ,Purchase,Tim MooreHouse / R,2025-10-31
GOOGL,Purchase,Michael T. McCaulHouse / R,2025-10-31
AVGO,Purchase,Michael T. McCaulHouse / R,2025-10-31
CAE,Purchase,Michael T. McCaulHouse / R,2025-10-31
LGIH,Purchase,Tim MooreHouse / R,2025-10-30
GNPX,Purchase,Tim MooreHouse / R,2025-10-29
SDLP,Purchase,Michael T. McCaulHouse / R,2025-10-27
RC-P-D,Purchase,Michael T. McCaulHouse / R,2025-10-27
DLTR,Purchase,Michael T. McCaulHouse / R,2025-10-24
NFG,Purchase,Michael T. McCaulHouse / R,2025-10-24
GBNE,Purchase,Michael T. McCaulHouse / R,2025-10-24
GBNE,Purchase,Michael T. McCaulHouse / R,2025-10-24
GEV,Purchase,Michael T. McCaulHouse / R,2025-10-23
ARE,Purchase,Michael T. McCaulHouse / R,2025-10-22
ICNT,Purchase,Michael T. McCaulHouse / R,2025-10-22
GEV,Purchase,Michael T. McCaulHouse / R,2025-10-16
HY,Purchase,Tim MooreHouse / R,2025-10-14
DLTR,Purchase,Michael T. McCaulHouse / R,2025-10-10
ARE,Purchase,Michael T. McCaulHouse / R,2025-10-10
HURN,Purchase,Michael T. McCaulHouse / R,2025-10-10
VZ,Purchase,Tim MooreHouse / R,2025-10-10
HY,Purchase,Tim MooreHouse / R,2025-10-10
HOOD,Purchase,Jonathan L. JacksonHouse / D,2025-10-08
HY,Purchase,Tim MooreHouse / R,2025-10-08
SHOP,Purchase,Jonathan L. JacksonHouse / D,2025-10-08
VZ,Purchase,Tim MooreHouse / R,2025-10-07
SHOP,Purchase,Jonathan L. JacksonHouse / D,2025-10-06
IHD,Purchase,Michael T. McCaulHouse / R,2025-10-01
