Stock,Transaction,Politician,Party,Chamber,Amount,Traded,Filed
NTAP,Purchase,John Boozman,R,Senate,"$1,001 - $15,000",2026-02-27,2026-03-06 16:10:00
AMZN,Purchase,David Taylor,R,House,"$1,001 - $15,000",2026-02-26,2026-03-06 00:00:00
V,Purchase,David Taylor,R,House,"$1,001 - $15,000",2026-02-26,2026-03-06 00:00:00
MSFT,Purchase,David Taylor,R,House,"$1,001 - $15,000",2026-02-26,2026-03-06 00:00:00
KR,Purchase,John Boozman,R,Senate,"$1,001 - $15,000",2026-02-26,2026-03-06 16:10:00
MEDP,Purchase,David Taylor,R,House,"$1,001 - $15,000",2026-02-26,2026-03-06 00:00:00
LLY,Purchase,David Taylor,R,House,"$1,001 - $15,000",2026-02-26,2026-03-06 00:00:00
GOOGL,Purchase,David Taylor,R,House,"$1,001 - $15,000",2026-02-26,2026-03-06 00:00:00
AVGO,Purchase,David Taylor,R,House,"$1,001 - $15,000",2026-02-26,2026-03-06 00:00:00
PG,Purchase,Lloyd Doggett,D,House,"$1,001 - $15,000",2026-02-17,2026-03-05 00:00:00
ARLP,Purchase,Virginia Foxx,R,House,"$1,001 - $15,000",2026-02-13,2026-03-02 00:00:00
MSFT,Purchase,John Boozman,R,Senate,"$1,001 - $15,000",2026-02-13,2026-03-06 16:10:00
DNUT,Purchase,Tim Moore,R,House,"$1,001 - $15,000",2026-02-12,2026-02-20 00:00:00
AAPL,Purchase,Cleo Fields,D,House,"$1,001 - $15,000",2026-02-12,2026-02-24 00:00:00
DBA AXIOM MATH,Purchase,Kelly Morrison,D,House,"$15,001 - $50,000",2026-02-11,2026-03-02 00:00:00
SMPL,Purchase,Tim Moore,R,House,"$15,001 - $50,000",2026-02-11,2026-02-20 00:00:00
PGR,Purchase,David Taylor,R,House,"$1,001 - $15,000",2026-02-10,2026-02-20 00:00:00
TTD,Purchase,Byron Donalds,R,House,"$1,001 - $15,000",2026-02-10,2026-03-06 00:00:00
TTD,Purchase,Byron Donalds,R,House,"$1,001 - $15,000",2026-02-10,2026-03-06 00:00:00
NOW,Purchase,Byron Donalds,R,House,"$1,001 - $15,000",2026-02-10,2026-03-06 00:00:00
NOW,Purchase,Byron Donalds,R,House,"$1,001 - $15,000",2026-02-10,2026-03-06 00:00:00
MSFT,Purchase,David Taylor,R,House,"$1,001 - $15,000",2026-02-09,2026-02-20 00:00:00
AVGO,Purchase,Shelley Moore Capito,R,Senate,"$1,001 - $15,000",2026-02-09,2026-03-04 10:06:00
AMZN,Purchase,David Taylor,R,House,"$1,001 - $15,000",2026-02-09,2026-02-20 00:00:00
