Stock,Transaction,Politician,Traded
ADP,Purchase,Marjorie Taylor GreeneHouse / R,2025-11-12
PAYX,Purchase,Marjorie Taylor GreeneHouse / R,2025-11-12
CLS,Purchase,Cleo FieldsHouse / D,2025-10-31
NFLX,Purchase,Cleo FieldsHouse / D,2025-10-31
AVGO,Purchase,Michael T. McCaulHouse / R,2025-10-31
CAE,Purchase,Michael T. McCaulHouse / R,2025-10-31
VZ,Purchase,Tim MooreHouse / R,2025-10-31
GOOG,Purchase,Julie JohnsonHouse / D,2025-10-31
META,Purchase,John BoozmanSenate / R,2025-10-31
NVDA,Purchase,Cleo FieldsHouse / D,2025-10-30
NVDA,Purchase,Cleo FieldsHouse / D,2025-10-30
AAPL,Purchase,Cleo FieldsHouse / D,2025-10-30
LGIH,Purchase,Tim MooreHouse / R,2025-10-30
GNPX,Purchase,Tim MooreHouse / R,2025-10-29
GOOG,Purchase,Cleo FieldsHouse / D,2025-10-29
GOOG,Purchase,Julie JohnsonHouse / D,2025-10-27
FIVE,Purchase,Tony WiedHouse / R,2025-10-27
DIS,Purchase,Tony WiedHouse / R,2025-10-27
ANET,Purchase,Tony WiedHouse / R,2025-10-27
GBNE,Purchase,Michael T. McCaulHouse / R,2025-10-24
DLTR,Purchase,Michael T. McCaulHouse / R,2025-10-24
GBNE,Purchase,Michael T. McCaulHouse / R,2025-10-24
GOOGL,Purchase,Cleo FieldsHouse / D,2025-10-23
AAPL,Purchase,Cleo FieldsHouse / D,2025-10-23
TSM,Purchase,Cleo FieldsHouse / D,2025-10-23
ARE,Purchase,Michael T. McCaulHouse / R,2025-10-22
GOOG,Purchase,Julie JohnsonHouse / D,2025-10-21
HY,Purchase,Tim MooreHouse / R,2025-10-14
ARE,Purchase,Michael T. McCaulHouse / R,2025-10-10
VZ,Purchase,Tim MooreHouse / R,2025-10-10
HY,Purchase,Tim MooreHouse / R,2025-10-10
DLTR,Purchase,Michael T. McCaulHouse / R,2025-10-10
COST,Purchase,John BoozmanSenate / R,2025-10-09
HY,Purchase,Tim MooreHouse / R,2025-10-08
VZ,Purchase,Tim MooreHouse / R,2025-10-07
DHR,Purchase,Julie JohnsonHouse / D,2025-10-07
CARR,Purchase,Julie JohnsonHouse / D,2025-10-07
EIPI,Purchase,John BoozmanSenate / R,2025-10-03
FTGC,Purchase,John BoozmanSenate / R,2025-10-03
