Stock,Transaction,Politician,Traded
CBRL,Purchase,Tim MooreHouse / R,2025-12-16
GOOGL,Purchase,Cleo FieldsHouse / D,2025-12-15
GOOG,Purchase,Cleo FieldsHouse / D,2025-12-15
MSFT,Purchase,Cleo FieldsHouse / D,2025-12-11
MSFT,Purchase,Cleo FieldsHouse / D,2025-12-11
GOOGL,Purchase,Cleo FieldsHouse / D,2025-12-11
VZ,Purchase,Tim MooreHouse / R,2025-12-10
ETN,Purchase,David TaylorHouse / R,2025-12-10
HD,Purchase,David TaylorHouse / R,2025-12-10
IREN,Purchase,Cleo FieldsHouse / D,2025-12-09
GOOGL,Purchase,Cleo FieldsHouse / D,2025-12-09
HOG,Purchase,Tim MooreHouse / R,2025-12-09
CBRL,Purchase,Tim MooreHouse / R,2025-12-09
NFLX,Purchase,Cleo FieldsHouse / D,2025-12-03
NFLX,Purchase,Cleo FieldsHouse / D,2025-12-03
GOOGL,Purchase,Cleo FieldsHouse / D,2025-12-01
WFC,Purchase,Mitch McConnellSenate / R,2025-12-01
BITB,Purchase,David McCormickSenate / R,2025-11-28
TXN,Purchase,"Thomas H. Kean, Jr.House / R",2025-11-26
BITB,Purchase,David McCormickSenate / R,2025-11-26
FWRG,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-26
NVDA,Purchase,Dwight EvansHouse / D,2025-11-21
DBSDF,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-20
BABA,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-19
AZSEY,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-19
AZN,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-19
BABAF,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-19
HESAF,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-19
BCLYF,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-19
DASH,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
CVX,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
DECK,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
DHI,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
DOW,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
CTRA,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
EG,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
ETN,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
CSW,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
BKNG,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
GOOGL,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
EXE,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
FB,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
FCX,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
FDS,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
FIS,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
FISV,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
GEV,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
COIN,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
GPN,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
