Stock,Transaction,Politician,Traded
IVW,Purchase,John BoozmanSenate / R,2025-12-31
IJR,Purchase,John BoozmanSenate / R,2025-12-26
SPYM,Purchase,John BoozmanSenate / R,2025-12-24
AAPL,Purchase,John BoozmanSenate / R,2025-12-17
MSFT,Purchase,John BoozmanSenate / R,2025-12-17
WFC,Purchase,John BoozmanSenate / R,2025-12-17
ANET,Purchase,John BoozmanSenate / R,2025-12-11
SMCI,Purchase,John BoozmanSenate / R,2025-12-11
DVN,Purchase,Julia LetlowHouse / R,2025-12-08
ICON,Purchase,Julia LetlowHouse / R,2025-12-08
AZN,Purchase,Julia LetlowHouse / R,2025-12-08
DIS,Purchase,Julia LetlowHouse / R,2025-11-03
KO,Purchase,Julia LetlowHouse / R,2025-11-03
IBM,Purchase,Julia LetlowHouse / R,2025-10-22
INTU,Purchase,Julia LetlowHouse / R,2025-10-01
AMZN,Purchase,Julia LetlowHouse / R,2025-10-01
GTES,Purchase,Julia LetlowHouse / R,2025-09-22
INTC,Purchase,Julia LetlowHouse / R,2025-09-22
DY,Purchase,Julia LetlowHouse / R,2025-09-22
DLTR,Purchase,Julia LetlowHouse / R,2025-09-17
CMG,Purchase,Julia LetlowHouse / R,2025-08-26
AIZ,Purchase,Julia LetlowHouse / R,2025-08-26
HUM,Purchase,Julia LetlowHouse / R,2025-08-08
LOW,Purchase,Julia LetlowHouse / R,2025-08-08
GLOB,Purchase,Julia LetlowHouse / R,2025-07-25
CRM,Purchase,Julia LetlowHouse / R,2025-07-25
GOOGL,Purchase,Julia LetlowHouse / R,2025-07-02
CSCO,Purchase,Julia LetlowHouse / R,2025-06-17
AMD,Purchase,Julia LetlowHouse / R,2025-06-17
ABBV,Purchase,Julia LetlowHouse / R,2025-04-28
DHR,Purchase,Julia LetlowHouse / R,2025-04-28
DGX,Purchase,Julia LetlowHouse / R,2025-04-28
ACN,Purchase,Julia LetlowHouse / R,2025-04-22
CNC,Purchase,Julia LetlowHouse / R,2025-04-14
JCI,Purchase,Julia LetlowHouse / R,2025-03-19
GLOB,Purchase,Julia LetlowHouse / R,2025-02-28
AIG,Purchase,Julia LetlowHouse / R,2025-02-24
EXR,Purchase,Julia LetlowHouse / R,2025-02-07
DE,Purchase,Julia LetlowHouse / R,2025-01-31
C,Purchase,Julia LetlowHouse / R,2025-01-31
AAPL,Purchase,Julia LetlowHouse / R,2025-01-31
HPE,Purchase,Julia LetlowHouse / R,2025-01-24
ADBE,Purchase,Julia LetlowHouse / R,2025-01-24
ACI,Purchase,Julia LetlowHouse / R,2025-01-24
MCK,Purchase,Julia LetlowHouse / R,2024-12-18
AFG,Purchase,Julia LetlowHouse / R,2024-11-19
DBX,Purchase,Julia LetlowHouse / R,2024-10-23
AMGN,Purchase,Julia LetlowHouse / R,2024-10-23
LVS,Purchase,Julia LetlowHouse / R,2024-10-23
AA,Purchase,Julia LetlowHouse / R,2024-10-23
LOW,Purchase,Julia LetlowHouse / R,2024-10-23
KVUE,Purchase,Julia LetlowHouse / R,2024-10-23
AAPL,Purchase,Julia LetlowHouse / R,2024-10-23
KHC,Purchase,Julia LetlowHouse / R,2024-10-23
JPM,Purchase,Julia LetlowHouse / R,2024-10-23
ABBV,Purchase,Julia LetlowHouse / R,2024-10-23
IR,Purchase,Julia LetlowHouse / R,2024-10-23
ABT,Purchase,Julia LetlowHouse / R,2024-10-23
ACN,Purchase,Julia LetlowHouse / R,2024-10-23
ICE,Purchase,Julia LetlowHouse / R,2024-10-23
AJG,Purchase,Julia LetlowHouse / R,2024-10-23
AMZN,Purchase,Julia LetlowHouse / R,2024-10-23
CVX,Purchase,Julia LetlowHouse / R,2024-10-23
HCN,Purchase,Julia LetlowHouse / R,2024-10-23
AVGO,Purchase,Julia LetlowHouse / R,2024-10-23
GS,Purchase,Julia LetlowHouse / R,2024-10-23
AZPN,Purchase,Julia LetlowHouse / R,2024-10-23
BA,Purchase,Julia LetlowHouse / R,2024-10-23
BAH,Purchase,Julia LetlowHouse / R,2024-10-23
BK,Purchase,Julia LetlowHouse / R,2024-10-23
EXE,Purchase,Julia LetlowHouse / R,2024-10-23
BMY,Purchase,Julia LetlowHouse / R,2024-10-23
BXP,Purchase,Julia LetlowHouse / R,2024-10-23
DUK,Purchase,Julia LetlowHouse / R,2024-10-23
CF,Purchase,Julia LetlowHouse / R,2024-10-23
CI,Purchase,Julia LetlowHouse / R,2024-10-23
DINO,Purchase,Julia LetlowHouse / R,2024-10-23
CRM,Purchase,Julia LetlowHouse / R,2024-10-23
