Stock,Transaction,Politician,Party,Chamber,Amount,Traded,Filed
IBP,Purchase,David Taylor,R,House,"$1,001 - $15,000",2026-03-24,2026-04-02 00:00:00
CBRL,Purchase,Tim Moore,R,House,"$15,001 - $50,000",2026-03-23,2026-03-24 00:00:00
LGIH,Purchase,Tim Moore,R,House,"$15,001 - $50,000",2026-03-20,2026-03-24 00:00:00
LGIH,Purchase,Tim Moore,R,House,"$50,001 - $100,000",2026-03-19,2026-03-24 00:00:00
LGIH,Purchase,Tim Moore,R,House,"$15,001 - $50,000",2026-03-18,2026-03-24 00:00:00
SMPL,Purchase,Tim Moore,R,House,"$1,001 - $15,000",2026-03-13,2026-03-24 00:00:00
GLAS FUNDS,Purchase,Max L. Miller,R,House,"$1,001 - $15,000",2026-03-13,2026-03-30 00:00:00
GLAS FUNDS,Purchase,Max L. Miller,R,House,"$1,001 - $15,000",2026-03-13,2026-03-30 00:00:00
LRCX,Purchase,David Taylor,R,House,"$1,001 - $15,000",2026-03-12,2026-03-20 00:00:00
IBP,Purchase,David Taylor,R,House,"$1,001 - $15,000",2026-03-12,2026-03-20 00:00:00
HD,Purchase,David Taylor,R,House,"$1,001 - $15,000",2026-03-12,2026-03-20 00:00:00
RPM,Purchase,David Taylor,R,House,"$1,001 - $15,000",2026-03-12,2026-03-20 00:00:00
LGIH,Purchase,Tim Moore,R,House,"$15,001 - $50,000",2026-03-12,2026-03-24 00:00:00
HOG,Purchase,Tim Moore,R,House,"$15,001 - $50,000",2026-03-12,2026-03-24 00:00:00
MSFT,Purchase,Cleo Fields,D,House,"$1,001 - $15,000",2026-03-12,2026-03-17 00:00:00
MSFT,Purchase,Cleo Fields,D,House,"$1,001 - $15,000",2026-03-12,2026-03-17 00:00:00
PH,Purchase,David Taylor,R,House,"$1,001 - $15,000",2026-03-12,2026-03-20 00:00:00
RPM,Purchase,David Taylor,R,House,"$1,001 - $15,000",2026-03-11,2026-03-20 00:00:00
FITB,Purchase,David Taylor,R,House,"$1,001 - $15,000",2026-03-11,2026-03-20 00:00:00
GLA,Purchase,Max L. Miller,R,House,$707.21 - $707.21,2026-03-03,2026-03-30 00:00:00
GLA,Purchase,Max L. Miller,R,House,$584.22 - $584.22,2026-03-03,2026-03-30 00:00:00
WFC,Purchase,Mitch McConnell,R,Senate,"$1,001 - $15,000",2026-03-01,2026-03-19 10:23:00
LPX,Purchase,Michael T. McCaul,R,House,"$15,001 - $50,000",2026-02-27,2026-03-10 00:00:00
ADSK,Purchase,Michael T. McCaul,R,House,"$1,001 - $15,000",2026-02-27,2026-03-10 00:00:00
EME,Purchase,April McClain Delaney,D,House,"$1,001 - $15,000",2026-02-27,2026-03-10 00:00:00
FCN,Purchase,Michael T. McCaul,R,House,"$15,001 - $50,000",2026-02-27,2026-03-10 00:00:00
IFNNY,Purchase,Josh Gottheimer,D,House,"$1,001 - $15,000",2026-02-27,2026-03-16 00:00:00
NFLX,Purchase,Michael T. McCaul,R,House,"$1,001 - $15,000",2026-02-27,2026-03-10 00:00:00
MELI,Purchase,Michael T. McCaul,R,House,"$1,001 - $15,000",2026-02-27,2026-03-10 00:00:00
GLAS FUNDS LP,Purchase,Max L. Miller,R,House,$318.74 - $318.74,2026-02-27,2026-03-30 00:00:00
NDAQ,Purchase,April McClain Delaney,D,House,"$1,001 - $15,000",2026-02-27,2026-03-10 00:00:00
HURN,Purchase,Michael T. McCaul,R,House,"$15,001 - $50,000",2026-02-27,2026-03-10 00:00:00
FSS,Purchase,Josh Gottheimer,D,House,"$1,001 - $15,000",2026-02-26,2026-03-16 00:00:00
HWAY,Purchase,Michael T. McCaul,R,House,"$100,001 - $250,000",2026-02-26,2026-03-10 00:00:00
UNH,Purchase,Markwayne Mullin,R,Senate,"$50,001 - $100,000",2026-02-25,2026-03-10 10:39:00
CLH,Purchase,April McClain Delaney,D,House,"$15,001 - $50,000",2026-02-23,2026-03-10 00:00:00
TRV,Purchase,Julia Letlow,R,House,"$1,001 - $15,000",2026-02-20,2026-03-12 00:00:00
GPC,Purchase,Michael T. McCaul,R,House,"$15,001 - $50,000",2026-02-20,2026-03-10 00:00:00
META,Purchase,Michael T. McCaul,R,House,"$1,001 - $15,000",2026-02-20,2026-03-10 00:00:00
CVS,Purchase,Michael T. McCaul,R,House,"$15,001 - $50,000",2026-02-20,2026-03-10 00:00:00
TSM,Purchase,Rick W. Allen,R,House,"$1,001 - $15,000",2026-02-19,2026-03-11 00:00:00
KMI,Purchase,Rick W. Allen,R,House,"$1,001 - $15,000",2026-02-19,2026-03-11 00:00:00
91282CLC3,Purchase,Rick W. Allen,R,House,"$50,001 - $100,000",2026-02-18,2026-03-11 00:00:00
LIN,Purchase,"Thomas H. Kean, Jr.",R,House,"$1,001 - $15,000",2026-02-18,2026-03-18 00:00:00
NFLX,Purchase,Michael T. McCaul,R,House,"$1,001 - $15,000",2026-02-17,2026-03-10 00:00:00
VST,Purchase,Julia Letlow,R,House,"$1,001 - $15,000",2026-02-17,2026-03-12 00:00:00
BAX,Purchase,Michael T. McCaul,R,House,"$100,001 - $250,000",2026-02-17,2026-03-10 00:00:00
INTU,Purchase,Michael T. McCaul,R,House,"$1,001 - $15,000",2026-02-17,2026-03-10 00:00:00
BK,Purchase,Jonathan L. Jackson,D,House,"$50,001 - $100,000",2026-02-17,2026-03-12 00:00:00
BK,Purchase,Jonathan L. Jackson,D,House,"$1,001 - $15,000",2026-02-17,2026-03-12 00:00:00
HPWR,Purchase,Michael T. McCaul,R,House,"$15,001 - $50,000",2026-02-13,2026-03-10 00:00:00
HLI,Purchase,Michael T. McCaul,R,House,"$15,001 - $50,000",2026-02-13,2026-03-10 00:00:00
CHRW,Purchase,April McClain Delaney,D,House,"$15,001 - $50,000",2026-02-13,2026-03-10 00:00:00
