Stock,Transaction,Politician,Party,Chamber,Amount,Traded,Filed
REGN,Purchase,Julia Letlow,R,House,"$1,001 - $15,000",2026-02-12,2026-03-12 00:00:00
HURN,Purchase,Michael T. McCaul,R,House,"$15,001 - $50,000",2026-02-12,2026-03-10 00:00:00
AAPL,Purchase,Ed Case,D,House,"$1,001 - $15,000",2026-02-12,2026-03-14 00:00:00
META,Purchase,Julia Letlow,R,House,"$1,001 - $15,000",2026-02-12,2026-03-12 00:00:00
FCN,Purchase,Michael T. McCaul,R,House,"$15,001 - $50,000",2026-02-12,2026-03-10 00:00:00
EXR,Purchase,Julia Letlow,R,House,"$1,001 - $15,000",2026-02-12,2026-03-12 00:00:00
MTCH1,Purchase,Michael T. McCaul,R,House,"$250,001 - $500,000",2026-02-11,2026-03-10 00:00:00
MTCH1,Purchase,Michael T. McCaul,R,House,"$250,001 - $500,000",2026-02-11,2026-03-10 00:00:00
MTCH1,Purchase,Michael T. McCaul,R,House,"$100,001 - $250,000",2026-02-11,2026-03-10 00:00:00
MTCH1,Purchase,Michael T. McCaul,R,House,"$50,001 - $100,000",2026-02-11,2026-03-10 00:00:00
MTCH1,Purchase,Michael T. McCaul,R,House,"$100,001 - $250,000",2026-02-11,2026-03-10 00:00:00
MTCH1,Purchase,Michael T. McCaul,R,House,"$100,001 - $250,000",2026-02-11,2026-03-10 00:00:00
MTCH1,Purchase,Michael T. McCaul,R,House,-,2026-02-11,2026-03-10 00:00:00
MTCH1,Purchase,Michael T. McCaul,R,House,"$100,001 - $250,000",2026-02-11,2026-03-10 00:00:00
MTCH1,Purchase,Michael T. McCaul,R,House,"$100,001 - $250,000",2026-02-11,2026-03-10 00:00:00
NTK,Purchase,Michael T. McCaul,R,House,"$15,001 - $50,000",2026-02-11,2026-03-10 00:00:00
LH,Purchase,April McClain Delaney,D,House,"$1,001 - $15,000",2026-02-11,2026-03-10 00:00:00
MTCH1,Purchase,Michael T. McCaul,R,House,"$15,001 - $50,000",2026-02-11,2026-03-10 00:00:00
META,Purchase,Michael T. McCaul,R,House,"$1,001 - $15,000",2026-02-11,2026-03-10 00:00:00
WELL,Purchase,Jonathan L. Jackson,D,House,"$1,001 - $15,000",2026-02-11,2026-03-12 00:00:00
C,Purchase,Jonathan L. Jackson,D,House,"$1,001 - $15,000",2026-02-11,2026-03-12 00:00:00
NTK,Purchase,Michael T. McCaul,R,House,"$100,001 - $250,000",2026-02-11,2026-03-10 00:00:00
NTK,Purchase,Michael T. McCaul,R,House,"$50,001 - $100,000",2026-02-11,2026-03-10 00:00:00
NTK,Purchase,Michael T. McCaul,R,House,"$50,001 - $100,000",2026-02-11,2026-03-10 00:00:00
NTK,Purchase,Michael T. McCaul,R,House,"$50,001 - $100,000",2026-02-11,2026-03-10 00:00:00
NTK,Purchase,Michael T. McCaul,R,House,"$500,001 - $1,000,000",2026-02-11,2026-03-10 00:00:00
NTK,Purchase,Michael T. McCaul,R,House,"$100,001 - $250,000",2026-02-11,2026-03-10 00:00:00
MTCH1,Purchase,Michael T. McCaul,R,House,"$500,001 - $1,000,000",2026-02-11,2026-03-10 00:00:00
ENTG,Purchase,Michael T. McCaul,R,House,"$1,001 - $15,000",2026-02-10,2026-03-10 00:00:00
CHRW,Purchase,April McClain Delaney,D,House,"$1,001 - $15,000",2026-02-09,2026-03-10 00:00:00
CHRW,Purchase,April McClain Delaney,D,House,"$1,001 - $15,000",2026-02-06,2026-03-10 00:00:00
BRO,Purchase,April McClain Delaney,D,House,"$1,001 - $15,000",2026-02-06,2026-03-10 00:00:00
FCNCA,Purchase,"Thomas H. Kean, Jr.",R,House,"$1,001 - $15,000",2026-02-05,2026-03-18 00:00:00
NFLX,Purchase,Michael T. McCaul,R,House,"$1,001 - $15,000",2026-02-05,2026-03-10 00:00:00
CMI,Purchase,Josh Gottheimer,D,House,"$1,001 - $15,000",2026-02-05,2026-03-16 00:00:00
GEV,Purchase,Josh Gottheimer,D,House,"$1,001 - $15,000",2026-02-05,2026-03-16 00:00:00
C,Purchase,Jonathan L. Jackson,D,House,"$50,001 - $100,000",2026-02-05,2026-03-12 00:00:00
UNH,Purchase,Josh Gottheimer,D,House,"$1,001 - $15,000",2026-02-05,2026-03-16 00:00:00
PEP,Purchase,Julia Letlow,R,House,"$1,001 - $15,000",2026-02-05,2026-03-12 00:00:00
AMZN,Purchase,Jonathan L. Jackson,D,House,"$1,001 - $15,000",2026-02-05,2026-03-12 00:00:00
ABT,Purchase,Michael T. McCaul,R,House,"$15,001 - $50,000",2026-02-05,2026-03-10 00:00:00
INTU,Purchase,Michael T. McCaul,R,House,"$1,001 - $15,000",2026-02-05,2026-03-10 00:00:00
CHRW,Purchase,April McClain Delaney,D,House,"$1,001 - $15,000",2026-02-05,2026-03-10 00:00:00
CVCO,Purchase,Michael T. McCaul,R,House,"$50,001 - $100,000",2026-02-04,2026-03-10 00:00:00
CMI,Purchase,Julia Letlow,R,House,"$1,001 - $15,000",2026-02-04,2026-03-12 00:00:00
KRSOX,Purchase,Sheri Biggs,R,House,"$1,001 - $15,000",2026-02-04,2026-03-21 00:00:00
LH,Purchase,April McClain Delaney,D,House,"$1,001 - $15,000",2026-02-04,2026-03-10 00:00:00
EME,Purchase,April McClain Delaney,D,House,"$1,001 - $15,000",2026-02-04,2026-03-10 00:00:00
XOM,Purchase,Josh Gottheimer,D,House,"$1,001 - $15,000",2026-02-04,2026-03-16 00:00:00
MRK,Purchase,Josh Gottheimer,D,House,"$1,001 - $15,000",2026-02-04,2026-03-16 00:00:00
FICO,Purchase,Michael T. McCaul,R,House,"$15,001 - $50,000",2026-02-04,2026-03-10 00:00:00
C,Purchase,Jonathan L. Jackson,D,House,"$1,001 - $15,000",2026-02-04,2026-03-12 00:00:00
ENTG,Purchase,Michael T. McCaul,R,House,"$1,001 - $15,000",2026-02-04,2026-03-10 00:00:00
MWA,Purchase,Michael T. McCaul,R,House,"$15,001 - $50,000",2026-02-03,2026-03-10 00:00:00
BA,Purchase,Julia Letlow,R,House,"$1,001 - $15,000",2026-02-02,2026-03-12 00:00:00
AAPL,Purchase,Julia Letlow,R,House,"$1,001 - $15,000",2026-02-02,2026-03-12 00:00:00
TSM,Purchase,Julia Letlow,R,House,"$1,001 - $15,000",2026-02-02,2026-03-12 00:00:00
PG,Purchase,Julia Letlow,R,House,"$1,001 - $15,000",2026-02-02,2026-03-12 00:00:00
XOM,Purchase,Josh Gottheimer,D,House,"$1,001 - $15,000",2026-02-02,2026-03-16 00:00:00
IBM,Purchase,Julia Letlow,R,House,"$1,001 - $15,000",2026-02-02,2026-03-12 00:00:00
DRS,Purchase,Julia Letlow,R,House,"$1,001 - $15,000",2026-02-02,2026-03-12 00:00:00
CSCO,Purchase,Julia Letlow,R,House,"$1,001 - $15,000",2026-02-02,2026-03-12 00:00:00
MNST,Purchase,Josh Gottheimer,D,House,"$1,001 - $15,000",2026-02-02,2026-03-16 00:00:00
AMD,Purchase,Julia Letlow,R,House,"$1,001 - $15,000",2026-02-02,2026-03-12 00:00:00
