ticker,purchases
AARD,2
ADMQ,1
AIRJ,2
ALTIX,4
AMH,3
AMR,14
APLE,1
ARE,1
ASA,2
AZO,1
BLNK,3
CCFN,2
CDNL,4
CE,2
CFBK,1
CFND,2
CJMB,2
CNTM,3
CORFX,3
CRMT,1
CWT,1
DFDV,1
DGICA,1
DLHC,1
DLX,1
DXR,2
FBLG,1
FDBC,1
FGBI,1
FRBBX,3
FROPX,2
FRST,1
FSSL,1
GAIA,1
GF,1
GPN,2
GPUS,2
HKHC,3
HYMC,3
IAUX,1
ICU,1
IFF,1
IMVT,1
IOR,6
IT,7
ITW,1
KYMR,2
LSAK,2
LUCY,2
LYFT,1
MCY,1
MDRR,4
MGLD,1
MLP,1
MMLP,2
MSFT,1
MSGM,2
MXF,4
N O G,2
NEWT,1
NRDY,2
NSPR,1
NWPP,2
ODCYX,1
OFLX,2
OTH,1
OXM,1
QNTO,2
RCG,21
RHEP,2
RSG,1
SCISX,1
SEVN,2
SLSN,5
SMRT,2
SURG,2
SXTP,2
TPL,3
TPVG,4
TTRX,1
WEST,1
WMG,1
WULF,1
none,1
