Stock,Transaction,Politician,Traded
HD,Purchase,Lloyd DoggettHouse / D,2025-12-18
CBRL,Purchase,Tim MooreHouse / R,2025-12-16
GOOG,Purchase,Cleo FieldsHouse / D,2025-12-15
GOOGL,Purchase,Cleo FieldsHouse / D,2025-12-15
KO,Purchase,Lloyd DoggettHouse / D,2025-12-15
PPG,Purchase,Lloyd DoggettHouse / D,2025-12-12
IBM,Purchase,Lloyd DoggettHouse / D,2025-12-12
MSFT,Purchase,Cleo FieldsHouse / D,2025-12-11
MSFT,Purchase,Cleo FieldsHouse / D,2025-12-11
GOOGL,Purchase,Cleo FieldsHouse / D,2025-12-11
ETN,Purchase,David TaylorHouse / R,2025-12-10
HD,Purchase,David TaylorHouse / R,2025-12-10
VZ,Purchase,Tim MooreHouse / R,2025-12-10
HOG,Purchase,Tim MooreHouse / R,2025-12-09
IREN,Purchase,Cleo FieldsHouse / D,2025-12-09
GOOGL,Purchase,Cleo FieldsHouse / D,2025-12-09
JNJ,Purchase,Lloyd DoggettHouse / D,2025-12-09
CBRL,Purchase,Tim MooreHouse / R,2025-12-09
NFLX,Purchase,Cleo FieldsHouse / D,2025-12-03
NFLX,Purchase,Cleo FieldsHouse / D,2025-12-03
GOOGL,Purchase,Cleo FieldsHouse / D,2025-12-01
WFC,Purchase,Mitch McConnellSenate / R,2025-12-01
BITB,Purchase,David McCormickSenate / R,2025-11-28
TXN,Purchase,"Thomas H. Kean, Jr.House / R",2025-11-26
BITB,Purchase,David McCormickSenate / R,2025-11-26
NVDA,Purchase,Dwight EvansHouse / D,2025-11-21
DBSDF,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-20
BABAF,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-19
AZSEY,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-19
BABA,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-19
AZN,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-19
BCLYF,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-19
FB,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
CMG,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
CAT,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
BXP,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
CPB,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
COIN,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
CVX,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
CSW,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
CTRA,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
DASH,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
DECK,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
DHI,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
DOW,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
EG,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
ETN,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
EXE,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
BRO,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
BSX,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
AVGO,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
BRK.B,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
ARE,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
AAPL,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
ABT,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
AMCR,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
AMD,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
AMZN,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
AMZN,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
ANET,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
APO,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
APP,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
AZO,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
BE,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
BKNG,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
FCX,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-18
CP,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-17
DASH,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-17
CSW,Purchase,Josh GottheimerHouse / D,2025-11-17
BCRX,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-13
ALKT,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-13
BMY,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-12
CP,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-12
CBOE,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-12
CAG,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-12
CSW,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-06
