Stock,Transaction,Politician,Traded
AVGO,Purchase,Michael T. McCaulHouse / R,2025-08-29
AVGO,Purchase,Michael T. McCaulHouse / R,2025-08-29
CVCI,Purchase,Michael T. McCaulHouse / R,2025-08-29
ARE,Purchase,Michael T. McCaulHouse / R,2025-08-27
DHR,Purchase,Michael T. McCaulHouse / R,2025-08-15
MA,Purchase,Michael T. McCaulHouse / R,2025-08-15
NCMV,Purchase,Michael T. McCaulHouse / R,2025-08-13
CME,Purchase,Julie JohnsonHouse / D,2025-08-11
AVGO,Purchase,Michael T. McCaulHouse / R,2025-08-08
BKNG,Purchase,Michael T. McCaulHouse / R,2025-08-08
INTU,Purchase,Michael T. McCaulHouse / R,2025-08-08
ATR,Purchase,Michael T. McCaulHouse / R,2025-08-07
AVGO,Purchase,Michael T. McCaulHouse / R,2025-08-07
DXCM,Purchase,Michael T. McCaulHouse / R,2025-08-07
DXCM,Purchase,Michael T. McCaulHouse / R,2025-08-04
